osm_id,place,plz,landkreis,bundesland,nuts3,nuts2,nuts1
1283582,Elbe-Parey,39317,Landkreis Jerichower Land,Sachsen-Anhalt,DEB33,DEB3,DEB
534476,Elbingen,56459,Westerwaldkreis,Rheinland-Pfalz,DEB1B,DEB1,DEB
1416146,Elbingerode,37412,Landkreis Göttingen,Niedersachsen,DEB33,DEB3,DEB
324301,Elbtal,65627,Landkreis Limburg-Weilburg,Hessen,DEB33,DEB3,DEB
907240,Elchesheim-Illingen,76477,Landkreis Rastatt,Baden-Württemberg,DEB33,DEB3,DEB
941078,Elchingen,89081,Landkreis Neu-Ulm,Bayern,DEB33,DEB3,DEB
941078,Elchingen,89275,Landkreis Neu-Ulm,Bayern,DEB33,DEB3,DEB
1244327,Elchweiler,55765,Landkreis Birkenfeld,Rheinland-Pfalz,DEB33,DEB3,DEB
1451573,Eldena,19294,Landkreis Ludwigslust-Parchim,Mecklenburg-Vorpommern,DEB33,DEB3,DEB
9683155,Eldetal,17209,Landkreis Mecklenburgische Seenplatte,Mecklenburg-Vorpommern,DEB33,DEB3,DEB
1797684,Eldingen,29351,Landkreis Celle,Niedersachsen,DEB33,DEB3,DEB
383589,Elfershausen,97725,Landkreis Bad Kissingen,Bayern,DEB33,DEB3,DEB
165448,Elgersburg,98716,Ilm-Kreis,Thüringen,DEG0F,DEG0,DEG
1405509,Elisabeth-Sophien-Koog,25845,Kreis Nordfriesland,Schleswig-Holstein,DEA14,DEA1,DEA
421926,Elkenroth,57578,Landkreis Altenkirchen,Rheinland-Pfalz,DEB33,DEB3,DEB
1177207,Elleben,99334,Ilm-Kreis,Thüringen,DEG0F,DEG0,DEG
444397,Ellefeld,8236,Vogtlandkreis,Sachsen,DED44,DED4,DED
915556,Ellenberg,73488,Ostalbkreis,Baden-Württemberg,DE11D,DE11,DE1
1244289,Ellenberg,55765,Landkreis Birkenfeld,Rheinland-Pfalz,DEB33,DEB3,DEB
533579,Ellenhausen,56242,Westerwaldkreis,Rheinland-Pfalz,DEB1B,DEB1,DEB
1259307,Ellenz-Poltersdorf,56821,Landkreis Cochem-Zell,Rheinland-Pfalz,DEB33,DEB3,DEB
442763,Ellerau,25479,Kreis Segeberg,Schleswig-Holstein,DEA14,DEA1,DEA
443703,Ellerbek,25474,Kreis Pinneberg,Schleswig-Holstein,DEA14,DEA1,DEA
548553,Ellerdorf,24589,Kreis Rendsburg-Eckernförde,Schleswig-Holstein,DEA14,DEA1,DEA
443360,Ellerhoop,25373,Kreis Pinneberg,Schleswig-Holstein,DEA14,DEA1,DEA
1241479,Ellern (Hunsrück),55497,Rhein-Hunsrück-Kreis,Rheinland-Pfalz,DEB1D,DEB1,DEB
1249958,Ellerstadt,67158,Landkreis Bad Dürkheim,Rheinland-Pfalz,DEB33,DEB3,DEB
445853,Ellgau,86679,Landkreis Augsburg,Bayern,DEB33,DEB3,DEB
410474,Ellhofen,74248,Landkreis Heilbronn,Baden-Württemberg,DEB33,DEB3,DEB
1418483,Ellhöft,25923,Kreis Nordfriesland,Schleswig-Holstein,DEA14,DEA1,DEA
1015150,Ellingen,91792,Landkreis Weißenburg-Gunzenhausen,Bayern,DEB33,DEB3,DEB
2247557,Ellingshausen,98617,Landkreis Schmalkalden-Meiningen,Thüringen,DEB33,DEB3,DEB
1156154,Ellingstedt,24870,Kreis Schleswig-Flensburg,Schleswig-Holstein,DEA14,DEA1,DEA
2400373,Ellrich,99755,Landkreis Nordhausen,Thüringen,DEB33,DEB3,DEB
1085801,Ellscheid,54552,Landkreis Vulkaneifel,Rheinland-Pfalz,DEB33,DEB3,DEB
915558,Ellwangen (Jagst),73479,Ostalbkreis,Baden-Württemberg,DE11D,DE11,DE1
1246407,Ellweiler,55765,Landkreis Birkenfeld,Rheinland-Pfalz,DEB33,DEB3,DEB
964146,Ellzee,89352,Landkreis Günzburg,Bayern,DEB33,DEB3,DEB
374140,Elmenhorst,18510,Landkreis Vorpommern-Rügen,Mecklenburg-Vorpommern,DEB33,DEB3,DEB
453727,Elmenhorst,23869,Kreis Stormarn,Schleswig-Holstein,DEA14,DEA1,DEA
1467348,Elmenhorst,21493,Kreis Herzogtum Lauenburg,Schleswig-Holstein,DEA14,DEA1,DEA
390655,Elmenhorst/Lichtenhagen,18107,Landkreis Rostock,Mecklenburg-Vorpommern,DEB33,DEB3,DEB
443302,Elmshorn,25335,Kreis Pinneberg,Schleswig-Holstein,DEA14,DEA1,DEA
443302,Elmshorn,25336,Kreis Pinneberg,Schleswig-Holstein,DEA14,DEA1,DEA
443302,Elmshorn,25337,Kreis Pinneberg,Schleswig-Holstein,DEA14,DEA1,DEA
1249989,Elmstein,67471,Landkreis Bad Dürkheim,Rheinland-Pfalz,DEB33,DEB3,DEB
417592,Elpersbüttel,25704,Kreis Dithmarschen,Schleswig-Holstein,DEA14,DEA1,DEA
168468,Elsdorf,50189,Rhein-Erft-Kreis,Nordrhein-Westfalen,DEA27,DEA2,DEA
1079017,Elsdorf,27404,Landkreis Rotenburg (Wümme),Niedersachsen,DEB33,DEB3,DEB
556602,Elsdorf-Westermühlen,24800,Kreis Rendsburg-Eckernförde,Schleswig-Holstein,DEA14,DEA1,DEA
956666,Elsendorf,84094,Landkreis Kelheim,Bayern,DEB33,DEB3,DEB
394529,Elsenfeld,63820,Landkreis Miltenberg,Bayern,DEB33,DEB3,DEB
532790,Elsfleth,26931,Landkreis Wesermarsch,Niedersachsen,DEB33,DEB3,DEB
447315,Elskop,25361,Kreis Steinburg,Schleswig-Holstein,DEA14,DEA1,DEA
534445,Elsnig,4880,Landkreis Nordsachsen,Sachsen,DEB33,DEB3,DEB
533248,Elsoff (Westerwald),56479,Westerwaldkreis,Rheinland-Pfalz,DEB1B,DEB1,DEB
2404585,Elsteraue,6729,Burgenlandkreis,Sachsen-Anhalt,DEE08,DEE0,DEE
446591,Elsterberg,7985,Vogtlandkreis,Sachsen,DED44,DED4,DED
1309584,Elsterheide - Halštrowska Hola,2979,Landkreis Bautzen,Sachsen,DEB33,DEB3,DEB
420241,Elstertrebnitz,4523,Landkreis Leipzig,Sachsen,DEB33,DEB3,DEB
1303791,Elsterwerda,4910,Landkreis Elbe-Elster,Brandenburg,DEB33,DEB3,DEB
1307660,Elstra - Halštrow,1920,Landkreis Bautzen,Sachsen,DEB33,DEB3,DEB
536630,Elterlein,9481,Erzgebirgskreis,Sachsen,DED42,DED4,DED
387775,Eltmann,97483,Landkreis Haßberge,Bayern,DEB33,DEB3,DEB
408592,Eltville am Rhein,65343,Rheingau-Taunus-Kreis,Hessen,DE71D,DE71,DE7
408592,Eltville am Rhein,65344,Rheingau-Taunus-Kreis,Hessen,DE71D,DE71,DE7
408592,Eltville am Rhein,65345,Rheingau-Taunus-Kreis,Hessen,DE71D,DE71,DE7
408592,Eltville am Rhein,65346,Rheingau-Taunus-Kreis,Hessen,DE71D,DE71,DE7
408592,Eltville am Rhein,65347,Rheingau-Taunus-Kreis,Hessen,DE71D,DE71,DE7
2075100,Elxleben,99334,Ilm-Kreis,Thüringen,DEG0F,DEG0,DEG
2411240,Elxleben,99189,Landkreis Sömmerda,Thüringen,DEB33,DEB3,DEB
324304,Elz,65604,Landkreis Limburg-Weilburg,Hessen,DEB33,DEB3,DEB
1112863,Elzach,79215,Landkreis Emmendingen,Baden-Württemberg,DEB33,DEB3,DEB
1168912,Elze,31008,Landkreis Hildesheim,Niedersachsen,DEB33,DEB3,DEB
403740,Elztal,74834,Neckar-Odenwald-Kreis,Baden-Württemberg,DE127,DE12,DE1
1246624,Elzweiler,66887,Landkreis Kusel,Rheinland-Pfalz,DEB33,DEB3,DEB
1385857,Embsen,21409,Landkreis Lüneburg,Niedersachsen,DEB33,DEB3,DEB
548583,Embühren,24819,Kreis Rendsburg-Eckernförde,Schleswig-Holstein,DEA14,DEA1,DEA
62562,Emden,26721,,Niedersachsen,#NV,#NV,#NV
62562,Emden,26723,,Niedersachsen,#NV,#NV,#NV
62562,Emden,26725,,Niedersachsen,#NV,#NV,#NV
2803463,Emeringen,88499,Alb-Donau-Kreis,Baden-Württemberg,DE145,DE14,DE1
2803398,Emerkingen,89607,Alb-Donau-Kreis,Baden-Württemberg,DE145,DE14,DE1
445151,Emersacker,86494,Landkreis Augsburg,Bayern,DEB33,DEB3,DEB
548546,Emkendorf,24802,Kreis Rendsburg-Eckernförde,Schleswig-Holstein,DEA14,DEA1,DEA
2816612,Emleben,99869,Landkreis Gotha,Thüringen,DEB33,DEB3,DEB
1821148,Emlichheim,49824,Landkreis Grafschaft Bentheim,Niedersachsen,DEB33,DEB3,DEB
1171887,Emmelbaum,54673,Eifelkreis Bitburg-Prüm,Rheinland-Pfalz,DEB23,DEB2,DEB
1420452,Emmelsbüll-Horsbüll,25924,Kreis Nordfriesland,Schleswig-Holstein,DEA14,DEA1,DEA
1182314,Emmelshausen,56281,Rhein-Hunsrück-Kreis,Rheinland-Pfalz,DEB1D,DEB1,DEB
1124268,Emmendingen,79312,Landkreis Emmendingen,Baden-Württemberg,DEB33,DEB3,DEB
1246441,Emmendorf,29579,Landkreis Uelzen,Niedersachsen,DEB33,DEB3,DEB
167945,Emmerich am Rhein,46446,Kreis Kleve,Nordrhein-Westfalen,DEA14,DEA1,DEA
929918,Emmering,83550,Landkreis Ebersberg,Bayern,DEB33,DEB3,DEB
933487,Emmering,82275,Landkreis Fürstenfeldbruck,Bayern,DEB33,DEB3,DEB
1184315,Emmerthal,31860,Landkreis Hameln-Pyrmont,Niedersachsen,DEB33,DEB3,DEB
942032,Emmerting,84547,Landkreis Altötting,Bayern,DEB33,DEB3,DEB
